movieTitle,movieDate,movieRunTime,movieGenre,movieRating,movieDescription,movieDirector,movieStars,movieVotes,movieGross
Joker,I 2019,122,"['Crime', ' Drama', ' Thriller']",9.6,"An original standalone origin story of the iconic villain not seen before on the big screen, it's a gritty character study of Arthur Fleck, a man disregarded by society, and a broader cautionary tale.",Todd Phillips,"['Joaquin Phoenix', 'Zazie Beetz', 'Robert De Niro', 'Jolie Chan']","12,341","12,341"
It Chapter Two,2019,169,"['Drama', ' Fantasy', ' Horror']",7.1,"Twenty-seven years after their first encounter with the terrifying Pennywise, the Losers Club have grown up and moved away, until a devastating phone call brings them back.",Andy Muschietti,"['Jessica Chastain', 'James McAvoy', 'Bill Hader', 'Isaiah Mustafa']","48,621","48,621"
Carnival Row,2019-,,"['Crime', ' Drama', ' Fantasy']",8.1,"A human detective and a fairy rekindle a dangerous affair in a Victorian fantasy world, where the city's uneasy peace collapses when a string of murders reveals an unimaginable monster.",,"['Stars:Orlando Bloom', 'Cara Delevingne', 'Simon McBurney', 'Tamzin Merchant']","12,531","12,531"
The Dark Crystal: Age of Resistance,2019-,60,"['Adventure', ' Drama', ' Family']",8.8,"Returns to the world of Thra, where three Gelfling discover the horrifying secret behind the Skeksis' power, and set out to ignite the fires of rebellion and save their world.",,"['Stars:Neil Sterenberg', 'Beccy Henderson', 'Nathalie Emmanuel', 'Taron Egerton']","8,388","8,388"
Once Upon a Time... in Hollywood,2019,161,"['Comedy', ' Drama']",8,A faded television actor and his stunt double strive to achieve fame and success in the film industry during the final years of Hollywood's Golden Age in 1969 Los Angeles.,Quentin Tarantino,"['Leonardo DiCaprio', 'Brad Pitt', 'Margot Robbie', 'Emile Hirsch']","180,639","180,639"
Terminator: Dark Fate,2019,,"['Action', ' Adventure', ' Sci-Fi']",,Sarah Connor and a hybrid cyborg human must protect a young girl from a newly modified liquid Terminator from the future.,Tim Miller,"['Mackenzie Davis', 'Edward Furlong', 'Linda Hamilton', 'Arnold Schwarzenegger']",,
Mindhunter,2017-,60,"['Crime', ' Drama', ' Thriller']",8.6,"Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases.",,"['Stars:Jonathan Groff', 'Holt McCallany', 'Anna Torv', 'Hannah Gross']","148,055","148,055"
Peaky Blinders,2013-,60,"['Crime', ' Drama']",8.8,"A gangster family epic set in 1919 Birmingham, England; centered on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.",,"['Stars:Cillian Murphy', 'Helen McCrory', 'Sophie Rundle', 'Paul Anderson']","221,194","221,194"
13 Reasons Why,2017-,60,"['Drama', ' Mystery']",7.9,"Follows teenager Clay Jensen, in his quest to uncover the story behind his classmate and crush, Hannah, and her decision to end her life.",,"['Stars:Dylan Minnette', 'Katherine Langford', 'Christian Navarro', 'Alisha Boe']","223,506","223,506"
The Boys,2019-,60,"['Action', ' Comedy', ' Crime']",8.9,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,,"['Stars:Karl Urban', 'Jack Quaid', 'Antony Starr', 'Erin Moriarty']","80,114","80,114"
Hustlers,2019,109,"['Comedy', ' Crime', ' Drama']",5.1,"Inspired by the viral New York Magazine article, Hustlers follows a crew of savvy former strip club employees who band together to turn the tables on their Wall Street clients.",Lorene Scafaria,"['Constance Wu', 'Jennifer Lopez', 'Julia Stiles', 'Mette Towley']","1,008","1,008"
It,I 2017,135,['Horror'],7.4,"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.",Andy Muschietti,"['Bill Skarsgård', 'Jaeden Martell', 'Finn Wolfhard', 'Sophia Lillis']","385,154","385,154"
Ready or Not,I 2019,95,"['Comedy', ' Horror', ' Mystery']",7.2,A bride's wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.,"Directors:Matt Bettinelli-Olpin, Tyler Gillett","['Samara Weaving', 'Adam Brody', ""Mark O'Brien"", 'Henry Czerny']","12,035","12,035"
Dark Phoenix,2019,113,"['Action', ' Adventure', ' Sci-Fi']",5.9,Jean Grey begins to develop incredible powers that corrupt and turn her into a Dark Phoenix. Now the X-Men will have to decide if the life of a team member is worth more than all of humanity.,Simon Kinberg,"['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence', 'Nicholas Hoult']","79,485","79,485"
Star Wars: The Rise of Skywalker,2019,,"['Action', ' Adventure', ' Fantasy']",,The surviving Resistance faces the First Order once more in the final chapter of the Skywalker saga.,J.J. Abrams,"['Daisy Ridley', 'Adam Driver', 'Mark Hamill', 'Billie Lourd']",,
